sent_id	id1	id2	out1	out2	label	score	prediction
680	1812	680	the total stool weight in grams during hospitalization	the mean stool weight during hospital stay	1	0.1403362452983856	0
248	1619	951	sucrose/pacifier effect on pain reduction	crying time	0	0.2018132209777832	1
56	1074	839	the proportion of patients with plasma HIV-1 RNA levels <200 copies/mL at week 24	virologic suppression	0	0.5774953365325928	1
54	1074	837	the proportion of patients with plasma HIV-1 RNA levels <200 copies/mL at week 24	virologic suppression	0	0.5774953365325928	1
142	1198	919	health care costs and utilization rates	A COPD-related cost offset	0	0.2942149639129638	1
166	237	611	the ABC Irritability subtest score	The ABC-C Irritability Subscale scores	1	0.1919327825307846	0
106	161	854	HbA1c, lipid levels, blood pressure, BMI after 24 months of follow-up	Glycated hemoglobin A1c	0	0.6926419734954834	1
21	33	981	composite death, reinfarction, stroke, or new myocardial ischemia	The primary combined endpoint of death, recurrent MI and unstable angina	0	0.4225046336650848	1
80	126	835	changes in pain as measured on a verbal rating scale from 0 to 10 during a flexion-extension range of motion evaluation and changes in disc height as measured on CT scans	pain	0	0.2814055979251861	1
480	1541	593	ETDRS visual acuity recorded in the laboratory, supplemented with a number of secondary lab-based visual function measures	logMAR	0	0.5467381477355957	1
8	1016	102	blood pressure	systolic BP	0	0.3775406777858734	1
411	651	684	the PHQ-9	acceptable	0	0.222700148820877	1
389	1697	714	"the change in IOP from baseline to week 4 at 8 a.m. and 4 p.m. for the per protocol (PP) population using a ""worse eye"" analysis"	Least squares mean IOP changes	1	0.1919327825307846	0
428	1821	207	participation in the Link-Up Study, through attendance at a biospecimen collection site to provide a blood sample and giving written consent to participate, including use of blood samples for genetic and other research	the response rate	1	0.0259573552757501	0
301	507	873	the change from baseline to 52 weeks of carotid arterial wall volume, reflecting plaque burden, as measured by carotid cardiovascular magnetic resonance	the respective volumes	0	0.5467381477355957	1
223	389	472	comparison of the change from baseline to end of 12 weeks between simvastatin and fenofibrate	total cholesterol	0	0.2018132209777832	1
433	1494	47	Number of headache days over a 12 week period (item A MIDAS questionnaire)	the number of migraine like headaches at 12 weeks	1	0.0259573552757501	0
421	655	105	attitudes, knowledge and skills in EBM	self-reported critical appraisal skills	0	0.2942149639129638	1
291	494	629	the disclosure rate of abuse by women who were identified by the VAWS tool during the three screening sessions compared to those in the interview group	the identification rate	1	0.0373268835246562	0
587	891	501	improved PFS for the maintenance phase	promising PFS	1	0.1127954125404357	0
646	970	644	Difference in plasma bone marker concentration between treatment groups	markers of bone formation or resorption	0	0.2120688110589981	1
719	1862	928	knee range of motion (ROM)	the necessary ROM for discharge	1	0.0850990489125251	0
621	932	925	PDSS	the effectiveness	0	0.2018132209777832	1
112	166	348	the percentage of patients who reached 25(OH)D levels of 30 ng/ml or above on day 7	serum 25(OH)D	1	0.1403362452983856	0
187	1271	79	change in nutrition knowledge scores, attitudes to healthy eating and acceptability of the intervention by children and teachers	Mean total nutrition knowledge score	0	0.562176525592804	1
147	1200	3	Anthropometry at birth	the proportion of stunting	0	0.2942149639129638	1
350	1429	734	the performance of the trial according to the revised CONSORT statement	completion rate	0	0.2337063699960708	1
249	1619	952	sucrose/pacifier effect on pain reduction	effective	0	0.3923368752002716	1
45	77	797	VC	The efficacy	0	0.2337063699960708	1
672	1802	1021	The throughput times length of ED stay (LOS)	times	1	0.1645164638757705	0
117	170	133	The frequency, duration and severity of exacerbations	frequency	0	0.3775406777858734	1
276	1337	65	cumulative survival without mechanical ventilation or oxygen dependency at 30 days; mortality at 30 days; therapy failure; crossover rate; and persisting pulmonary problems defined as oxygen dependency or still being on a ventilator at 30 days	survival without supplemental oxygen or on ventilator	0	0.5156199336051941	1
