sent_id	id1	id2	out1	out2	label	score
421	655	105	attitudes, knowledge and skills in EBM	knowledge	0	1.0
598	913	248	instrumental birth	intervention during labour and delivery	0	0.9999545812606812
407	650	170	trough forced expiratory volume in one second (FEV 1 ) at 24 h post-dose after 14 days	24-h bronchodilation	0	0.9362850189208984
56	1074	839	the proportion of patients with plasma HIV-1 RNA levels <200 copies/mL at week 24	virologic suppression	0	0.9999998807907104
54	1074	837	the proportion of patients with plasma HIV-1 RNA levels <200 copies/mL at week 24	virologic suppression	0	0.9999998807907104
200	1273	121	the percentage of patients who had a CSTE	CSTEs	1	0.0009697519708424
142	1198	919	health care costs and utilization rates	A COPD-related cost offset	0	0.9999997615814208
106	161	854	HbA1c, lipid levels, blood pressure, BMI after 24 months of follow-up	Glycated hemoglobin A1c	0	1.0
683	1816	851	pain and disability	disability	0	1.0
21	33	981	composite death, reinfarction, stroke, or new myocardial ischemia	The primary combined endpoint of death, recurrent MI and unstable angina	0	0.9999995231628418
80	126	835	changes in pain as measured on a verbal rating scale from 0 to 10 during a flexion-extension range of motion evaluation and changes in disc height as measured on CT scans	pain	0	0.9999992847442628
480	1541	593	ETDRS visual acuity recorded in the laboratory, supplemented with a number of secondary lab-based visual function measures	logMAR	0	0.9998205304145812
8	1016	102	blood pressure	systolic BP	0	1.0
703	1839	1028	1) defecation frequency > 3/week; 2) normalization of stool consistency; 3) no more painful defecation; 4) absence of abdominal or rectal palpable mass at physical examination	Improvement of hard stool consistency to soft stool consistency	0	0.985936403274536
389	1697	714	"the change in IOP from baseline to week 4 at 8 a.m. and 4 p.m. for the per protocol (PP) population using a ""worse eye"" analysis"	Least squares mean IOP changes	1	0.0191240366548299
428	1821	207	participation in the Link-Up Study, through attendance at a biospecimen collection site to provide a blood sample and giving written consent to participate, including use of blood samples for genetic and other research	the response rate	1	1.7429788101708257e-07
308	513	196	Early Treatment Failure (ETF); Late Clinical Failure (LCF); Late Parasitological Failure (LPF); Adequate Clinical and Parasitological Response (ACPR) 18	the recrudescence cases	0	0.9999998807907104
223	389	472	comparison of the change from baseline to end of 12 weeks between simvastatin and fenofibrate	total cholesterol	0	0.8807970285415649
433	1494	47	Number of headache days over a 12 week period (item A MIDAS questionnaire)	the number of migraine like headaches at 12 weeks	1	0.4532618224620819
421	655	105	attitudes, knowledge and skills in EBM	self-reported critical appraisal skills	0	1.0
683	1816	851	pain and disability	disability	0	1.0
291	494	629	the disclosure rate of abuse by women who were identified by the VAWS tool during the three screening sessions compared to those in the interview group	the identification rate	1	0.0004583129484672
646	970	644	Difference in plasma bone marker concentration between treatment groups	markers of bone formation or resorption	0	0.9999998807907104
719	1862	928	knee range of motion (ROM)	the necessary ROM for discharge	1	2.5071594791370444e-05
82	128	653	absence of parasites and clinical signs on days 14 and 28, and good clinical and biological tolerability	clinical and parasitological response rate	0	0.970687747001648
327	543	636	body weight (kg) and waist circumference (cm)	weight loss	0	0.9999960660934448
621	932	925	PDSS	the effectiveness	0	0.9465966820716858
112	166	348	the percentage of patients who reached 25(OH)D levels of 30 ng/ml or above on day 7	serum 25(OH)D	1	9.028038766700774e-05
65	108	800	rescue NSAIDs	NSAID use	1	0.3486451804637909
595	897	566	improvement of GHbA 1c and the SF-36 quality of life score	glycaemic control	0	0.9999998807907104
592	1701	530	intra-operative pain	pain control	0	1.0
187	1271	79	change in nutrition knowledge scores, attitudes to healthy eating and acceptability of the intervention by children and teachers	Mean total nutrition knowledge score	0	0.9999996423721312
385	1463	264	the differences in the levels of iFGF23 and iPTH after each treatment period	the levels of iFGF23	0	0.9830850958824158
45	77	797	VC	The efficacy	0	0.9998148083686828
672	1802	1021	The throughput times length of ED stay (LOS)	times	1	4.539786823443137e-05
331	1402	131	the patient assessment of spinal pain (100-mm VAS), patient global assessment of disease activity (100-mm VAS), and the Bath Ankylosing Spondylitis Functional Index (100-mm VAS)	BASDAI	0	0.990874409675598
117	170	133	The frequency, duration and severity of exacerbations	frequency	0	1.0
276	1337	65	cumulative survival without mechanical ventilation or oxygen dependency at 30 days; mortality at 30 days; therapy failure; crossover rate; and persisting pulmonary problems defined as oxygen dependency or still being on a ventilator at 30 days	survival without supplemental oxygen or on ventilator	0	0.9999990463256836
