sent_id	id1	id2	out1	out2	label
91	1845	754	the effect on markers of bone turnover at 24 weeks	the level of serum procollagen type I N-terminal propeptide (PINP), a marker of bone formation,	0
624	937	815	severity of IAD	recovered completely from IAD	1
507	1577	819	the average FEV 1 from the first intake of study drug to the measurement at 90 minutes	relief of acute bronchoconstriction	0
344	941	306	the Gastrointestinal Symptom Rating Scale-IBS version (GSRS-IBS) 42	avoidance behaviors	0
738	1896	637	The plaque scores	plaque index	1
683	1816	851	disability	disability	1
753	1936	55	changes compared to baseline observed after 4 weeks (40 sessions) of treatment, in parallel groups, on (1) Aberrant Behavior Checklist–Community (ABC) total score and subscale scores, based on the parent's or primary caretaker's rating, (2) Autism Treatment Evaluation Checklist (ATEC) total score and subscale scores, based on the parent's or primary caretaker's rating, and (3) Clinical Global Impression–Improvement (CGI) scale for changes in overall functioning and subscales, as rated by the parent or primary caretaker and also as rated separately by the treating physician (without knowledge of the parental ratings)	receptive language	0
365	625	388	self-reported withdrawal symptom severity during the detoxification period	relapse rate	0
400	1481	41	Depressive symptoms	The percentages of participants with severe depressive symptoms	1
239	406	263	a dichotomous measure (occurrence of low back pain)	The overall response rate	0
311	513	200	Early Treatment Failure (ETF); Late Clinical Failure (LCF); Late Parasitological Failure (LPF); Adequate Clinical and Parasitological Response (ACPR) 18	effectiveness	0
758	1936	60	changes compared to baseline observed after 4 weeks (40 sessions) of treatment, in parallel groups, on (1) Aberrant Behavior Checklist–Community (ABC) total score and subscale scores, based on the parent's or primary caretaker's rating, (2) Autism Treatment Evaluation Checklist (ATEC) total score and subscale scores, based on the parent's or primary caretaker's rating, and (3) Clinical Global Impression–Improvement (CGI) scale for changes in overall functioning and subscales, as rated by the parent or primary caretaker and also as rated separately by the treating physician (without knowledge of the parental ratings)	social interaction	0
190	288	365	the number of hospital days after surgery	adjusted average gain in benefit	0
360	1436	650	gastric emptying T half	eiconsenoic acid	0
121	179	454	the proportion of pregnant women who attended ANC with their partners at the subsequent antenatal visit	male partners attended the antenatal clinic	0
502	782	946	the mean time to onset of the first 24-h heartburn-free period after initial dosing	The mean time to onset of the first 24-h heartburn-free period	1
514	796	616	the proportion of children achieving a well clinical response and time to a well clinical response	a 'Well' clinical response	0
753	1936	55	changes compared to baseline observed after 4 weeks (40 sessions) of treatment, in parallel groups, on (1) Aberrant Behavior Checklist–Community (ABC) total score and subscale scores, based on the parent's or primary caretaker's rating, (2) Autism Treatment Evaluation Checklist (ATEC) total score and subscale scores, based on the parent's or primary caretaker's rating, and (3) Clinical Global Impression–Improvement (CGI) scale for changes in overall functioning and subscales, as rated by the parent or primary caretaker and also as rated separately by the treating physician (without knowledge of the parental ratings)	overall functioning	0
265	461	326	10-year CVD risk	estimated population CVD risk	1
45	1072	339	the recruitment rate	This number of centres	0
403	646	209	PCS	Women's physical health scores	0
581	1668	768	the Freezing of Gait Questionnaire	freezing	1
140	207	525	educational achievement and anaemia	The estimated financial cost of IST per child screened	0
695	1834	797	The MC exam	learning joint anatomy	0
